age,gender,marital_status,education,employment_status,years_employed,annual_income,monthly_income,credit_score,credit_history_length,num_credit_accounts,existing_debt,monthly_debt_payments,debt_to_income_ratio,loan_amount,loan_term_months,loan_purpose,owns_property,property_value,has_bank_account,years_with_bank,previous_loans,previous_loan_defaults,state,area_type,has_coapplicant,coapplicant_income,total_household_income,loan_approved,application_date
40,Male,Single,Some College,Employed,9.5,42096.37,3508.03,657.0,4.4,6,10076.69,302.30075521340933,0.086,17141.34,96,Debt Consolidation,True,91033.21,True,2.1,0,0,TX,Urban,False,0.0,42096.37099007631,1,2025-06-22 12:07:44.875501
33,Male,Single,Some College,Employed,1.3,17648.76,1470.73,715.0,11.5,1,9053.22,271.59673846115976,0.185,10268.33,12,Auto,True,175773.24,True,1.4,1,0,FL,Urban,False,0.0,17648.75991166048,1,2023-12-30 12:07:44.875501
42,Male,Divorced,Bachelor's,Employed,4.6,50164.34,4180.36,621.0,6.0,3,36824.51,1104.7353957135044,0.264,32394.81,24,Medical,False,0.0,True,0.9,1,0,CA,Urban,False,0.0,50164.34047662988,1,2023-10-02 12:07:44.875501
53,Male,Single,Some College,Employed,9.7,53252.51,4437.71,659.0,5.7,7,32084.19,962.5257445921795,0.217,15972.85,36,Home Improvement,False,0.0,True,13.3,2,0,FL,Suburban,True,36262.33049297453,89514.83673855438,1,2024-06-14 12:07:44.875501
32,Male,Single,High School,Employed,2.6,43904.1,3658.67,657.0,8.3,0,1119.71,33.591196742199195,0.009,32055.07,96,Home Improvement,True,164445.45,True,0.0,0,0,Other,Suburban,True,18902.17017636302,62806.26718664781,1,2024-05-14 12:07:44.875501
32,Female,Single,Bachelor's,Employed,13.5,43740.49,3645.04,703.0,1.1,3,2314.97,69.44912894288301,0.019,17003.9,48,Business,True,215060.46,True,6.9,1,0,Other,Urban,False,0.0,43740.487699656434,1,2024-04-22 12:07:44.875501
53,Female,Single,Advanced,Employed,11.7,49782.89,4148.57,715.0,9.0,3,25975.93,779.2780108883686,0.188,49391.4,84,Debt Consolidation,True,134361.75,True,14.4,0,0,CA,Rural,True,40936.19967770388,90719.09154105408,1,2024-01-27 12:07:44.875501
44,Female,Divorced,Bachelor's,Employed,1.2,33274.9,2772.91,659.0,5.4,6,8038.16,241.1449167899509,0.087,25773.98,72,Home Improvement,True,50000.0,True,1.3,1,0,NY,Suburban,False,0.0,33274.903239241045,1,2023-12-20 12:07:44.875501
29,Male,Single,Some College,Employed,1.5,37894.51,3157.88,662.0,13.7,3,2401.22,72.0366001414937,0.023,38737.69,36,Personal,False,0.0,True,18.8,1,0,Other,Suburban,False,0.0,37894.50683396449,1,2025-07-30 12:07:44.875501
41,Male,Widowed,Bachelor's,Employed,1.0,36175.06,3014.59,672.0,1.2,6,13346.54,400.39633752139235,0.133,23299.53,60,Auto,True,60263.55,True,22.1,0,0,Other,Rural,True,30545.65284783199,66720.71558426434,1,2025-03-18 12:07:44.875501
